Symbol	Description
AMMX.OB	Ameramex International Inc
AMNF.OB	Armanino Foods
AMNI.OB	American Noble Gas Inc
AMNL.OB	Applied Minerals Inc
AMNNF.OB	Amcomri Entertainment Inc
AMNP.OB	American Sierra Gold Corp
AMPDF.OB	Ampd Ventures Inc
AMQFF.OB	Abitibi Metals Corp
AMRLF.OB	American Lithium Corp
AMROF.OB	Amaero International Ltd
AMRRY.OB	American Rare Earths Ltd
AMRSQ.OB	Amyris Inc
AMSLF.OB	Australian Mines Ltd
AMSSY.OB	Ams-Osram Ag
AMSYF.OB	Arcelormittal Sa
AMTY.OB	Amerityre Corp
AMVMF.OB	Amg Advanced Metallurgical Group NV
AMXEF.OB	AMEX Exploration Inc
AMXOF.OB	America Movil S.A.B. DE Cv
AMXX.OB	Maxx Sports TV
AMYZF.OB	Recyclico Battery Matls Inc
ANAS.OB	Alternaturals Inc
ANCTF.OB	Alimentation Couche-Tard Inc
ANDC.OB	Andover Bancorp Inc [Oh]
ANDR.OB	Andrea Electronics Corp
ANFGF.OB	Antofagasta Plc
ANFIF.OB	Amira Nature Foods Ltd
ANGGF.OB	Angang Steel CO Ltd
ANGPY.OB	Anglo American Platinum Ltd
ANGVF.OB	Angus Ventures Inc
ANICF.OB	Anonymous Intelligence CO Inc
ANIOY.OB	Acerinox S.A.
ANKOF.OB	Angkor Resources Corp
ANLDF.OB	Anfield Energy Inc
ANNSF.OB	Aena S.A.
ANPCY.OB	Angle Plc ADR
ANPDF.OB	Anta Sports Products Ltd
ANPDY.OB	Anta Sports Prod ADR
ANPMF.OB	Andean Precious Metals Corp
ANRGF.OB	Anaergia Inc
ANSLY.OB	Ansell Ltd ADR
ANSNF.OB	Anson Resources
ANTGF.OB	Advantagewon Oil Corp
ANTMF.OB	Antilles Gold Ltd
ANTVF.OB	Antares Vision Srl Spa
ANYYY.OB	Aena Sme S.A.
ANZFF.OB	Air New Zealand Ltd
ANZGF.OB	Anz Group Hldgs Ltd
ANZGY.OB	Anz Group Hldgs Ltd
ANZLY.OB	Air New Zealand Ltd
AOAGF.OB	Ams-Osram Ag
AOAO.OB	Alpha One Inc
AOCIF.OB	Autocanada Inc
AOIFF.OB	Africa Oil Corp
AOMFF.OB	Alstom
AONNY.OB	Aeon Ltd ADR
AOREF.OB	American Overseas Group Limited
AOTVF.OB	Ascot Resources Ltd
AOXG.OB	Aoxing Pharmaceutical Company
AOXY.OB	Advanced Oxygen Technologies Inc
APAAF.OB	Appia Rare Earths & Uranium Corp
APAJF.OB	Apa Group Stapled Security
APCFF.OB	Atlas Pearls Ltd
APCOF.OB	American Potash Corp.
APELY.OB	Alps Electric Ltd Ad
APEMY.OB	Aperam
APEOF.OB	Coloured Ties Capital Inc
APETF.OB	Alphagen Intelligence Corp
APEUF.OB	Atlas Engineered Products Ltd
APGI.OB	American Power Group Corp
APGMF.OB	Applied Graphene Materials Plc
APGOF.OB	Apollo Silver Corp
APGT.OB	Appgate Inc
APHLF.OB	Alpha Lithium Corp
APHP.OB	American Picture House Corp
APLIF.OB	Appili Therapeutics Inc
APLO.OB	Apollo Bancorp Inc
APMCF.OB	Morien Resources
APMRF.OB	Amper Sa Madrid
APNHY.OB	Aspen Pharmacare
APPEF.OB	Appen Ltd
APPHQ.OB	Appharvest Inc
APPIF.OB	Appier Group Inc
APPTF.OB	Automotive Pptys Real Estate Invt Tr.
APPWQ.OB	Appharvest Inc WT
APQT.OB	Appliqate Inc
APRAF.OB	Trailbreaker Resources Ltd
APRU.OB	Apple Rush Co. Inc
APSI.OB	Aqua Power Systems Inc
APTL.OB	Alaska Pwr & Tel Co.
APTPF.OB	Airports of Thailand Public Ltd
APTX.OB	Aptinyx Inc
APTY.OB	Apt Systems Inc
APVS.OB	Applied Visual Sciences Inc
APVTW.OB	Aptevo Therapeutics Inc
APWL.OB	Advanced Pwrln Techs Inc
APXYY.OB	Appen Ltd
APYP.OB	Appyea Inc
APYRF.OB	Allied Properties Real Estate Investment Trust
